;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,M40\SV31\SUP_IND,SV31 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/2,G,,,,,,
D,M40\SV32\EXH_IND,SV32 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/4,G,,,,,,
D,M40\SV32\OFF_IND,SV32 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/7,G,,,,,,
D,M40\SV32\SUP_IND,SV32 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/6,G,,,,,,
D,M40\SV33\EXH_IND,SV33 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/8,G,,,,,,
D,M40\SV33\OFF_IND,SV33 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/11,G,,,,,,
D,M40\SV33\SUP_IND,SV33 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/10,G,,,,,,
D,M40\SV34\EXH_IND,SV34 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/12,G,,,,,,
D,M40\SV34\OFF_IND,SV34 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/15,G,,,,,,
D,M40\SV34\SUP_IND,SV34 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/14,G,,,,,,
D,M40\SV41\ALM_IND,SV41 ALARM IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:7/13,G,,,,,,
D,M40\SV41\EXH_IND,SV41 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/0,G,,,,,,
D,M40\SV41\OFF_IND,SV41 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/3,G,,,,,,
D,M40\SV41\SUP_IND,SV41 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/2,G,,,,,,
D,M40\SV42\ALM_IND,SV42 ALARM IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:7/10,G,,,,,,
D,M40\SV42\EXH_IND,SV42 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/4,G,,,,,,
D,M40\SV42\OFF_IND,SV42 OFF_IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/7,G,,,,,,
D,M40\SV42\SUP_IND,SV42 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/6,G,,,,,,
D,M40\SV43\ALM_IND,SV43 ALARM IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:7/7,G,,,,,,
D,M40\SV43\EXH_IND,SV43 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/8,G,,,,,,
D,M40\SV43\OFF_IND,SV43 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/11,G,,,,,,
D,M40\SV43\SUP_IND,SV43 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/10,G,,,,,,
D,M40\SV44\ALM_IND,SV44 ALARM IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:7/4,G,,,,,,
D,M40\SV44\EXH_IND,SV44 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/12,G,,,,,,
