    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   219 |    30 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_180AX_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   220 |    30 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_180AX_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   221 |    31 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_180TX_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   222 |    31 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_180TX_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   223 |    32 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_103ASS_ALM                                  | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   224 |    32 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_103ASS_ALM                                  | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   225 |    33 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_103DSS_ALM                                  | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   226 |    33 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_103DSS_ALM                                  | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   227 |    34 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_126DT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   228 |    34 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_126DT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   229 |    35 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_27GR1_PS_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   230 |    35 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_27GR1_PS_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   231 |    36 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_164G_ENCL_GND_ALM                           | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   232 |    36 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_164G_ENCL_GND_ALM                           | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   233 |    37 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_164A_ENCL_ALIVE_TRP                         | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   234 |    37 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_164A_ENCL_ALIVE_TRP                         | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   235 |    38 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226WT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   236 |    38 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226WT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   237 |    39 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226WT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   238 |    39 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226WT_HI_TRP                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
